Stop_ID,CTA Stop Name,Direction,Routes,Ward,LONGITUDE,LATITUDE,Location,Phase
68,Jackson & Franklin,EB,"1,7,28,126,130,151,156",42,-87.635401,41.878051,"(41.878051, -87.635401)",2
69,Jackson & Financial Place,EB,"1,7,28,126,130,132,151",42,-87.632868,41.878081,"(41.878081, -87.632868)",1
73,Michigan & Van Buren/Congress,SB,"1,3,4,7,J14,26,28,126,132,143,147",42,-87.624396,41.876271,"(41.876271, -87.624396)",1
75,Michigan & Van Buren,NB,"1,7,28,126",42,-87.62416,41.87669,"(41.87669, -87.62416)",2
76,Michigan & Jackson,NB,"3,4,6,J14,26,143",42,-87.624193,41.878135,"(41.878135, -87.624193)",1
77,Adams & Wabash,WB,"1,7,28,126,151",42,-87.625884,41.879575,"(41.879575, -87.625884)",2
80,Adams & Wells,WB,"1,7,28,126,130,134,135,136,151,156",42,-87.634024,41.879426,"(41.879426, -87.634024)",2
206,Harrison & Halsted,WB,"7,60,755",25,-87.64775,41.874441,"(41.874441, -87.64775)",2
312,Roosevelt & Canal,EB,"12,18,N62",25,-87.638826,41.867139,"(41.867139, -87.638826)",2
358,Roosevelt & Homan,WB,12,24,-87.71027,41.866418,"(41.866418, -87.71027)",1
397,Madison & Laramie,EB,20,29,-87.75526,41.88027,"(41.88027, -87.75526)",2
409,Madison & Pulaski,EB,20,28,-87.725823,41.880614,"(41.880614, -87.725823)",1
442,Washington & Jefferson,EB,"J14,19,20,56",42,-87.642848,41.88311,"(41.88311, -87.642848)",2
449,Washington & Wabash,EB,"N4,J14,19,20,56,60,N66,124,147,151,157",42,-87.625966,41.883159,"(41.883159, -87.625966)",2
455,Madison & Clinton,WB,"J14,19,20,56,192",42,-87.641043,41.881947,"(41.881947, -87.641043)",1
465,Madison & Ashland,WB,20,27,-87.666567,41.881523,"(41.881523, -87.666567)",1
523,Chicago & Cicero,EB,66,37,-87.745937,41.894906,"(41.894906, -87.745937)",1
530,Chicago & Pulaski,EB,66,37,-87.726211,41.89529,"(41.89529, -87.726211)",1
548,Chicago & Western,EB,66,26,-87.687019,41.895662,"(41.895662, -87.687019)",1
552,Chicago & Damen,EB,66,1,-87.677192,41.895831,"(41.895831, -87.677192)",1
556,Chicago & Ashland,EB,66,1,-87.667474,41.895993,"(41.895993, -87.667474)",1
590,Grand & Fairbanks/Columbus,WB,"2,29,65,66",42,-87.620009,41.891862,"(41.891862, -87.620009)",2
594,Fairbanks & Huron,NB,"3,66,120,121,157",42,-87.620252,41.894886,"(41.894886, -87.620252)",2
597,Chicago & Mies Van Der Rohe,WB,"3,26,66,157",2,-87.621709,41.896838,"(41.896838, -87.621709)",2
599,Chicago & Michigan,WB,66,42,-87.624493,41.8968,"(41.8968, -87.624493)",1
601,Chicago & State (Red Line),WB,66,42,-87.628022,41.896741,"(41.896741, -87.628022)",3
606,Chicago & Franklin (Brown line),WB,66,27,-87.635534,41.896669,"(41.896669, -87.635534)",1
617,Chicago Blue Line Station,WB,66,27,-87.655108,41.896353,"(41.896353, -87.655108)",1
622,Chicago & Ashland,WB,66,1,-87.667079,41.896151,"(41.896151, -87.667079)",2
648,Chicago & Pulaski,WB,66,37,-87.725901,41.895445,"(41.895445, -87.725901)",1
672,Grand & Oak Park,EB,"65,74",36,-87.795414,41.923518,"(41.923518, -87.795414)",1
738,Grand & Halsted/Milwaukee (Blue Line),EB,65,27,-87.647777,41.891115,"(41.891115, -87.647777)",1
759,Grand & Streeter,WB,"2,29,65,66,124",42,-87.612125,41.892011,"(41.892011, -87.612125)",2
765,Grand & Dearborn,WB,65,42,-87.629467,41.891714,"(41.891714, -87.629467)",2
949,North Ave & Western,WB,72,32,-87.687029,41.91039,"(41.91039, -87.687029)",3
1023,Sheridan & Pratt,SB,147151155,49,-87.660998,42.005364,"(42.005364, -87.660998)",1
1027,Sheridan & Loyola (Red Line),SB,147151155,49,-87.66086,42.001423,"(42.001423, -87.66086)",1
1033,Sheridan & Granville,SB,136147151,48,-87.655598,41.994419,"(41.994419, -87.655598)",2
1034,Sheridan & Glenlake,SB,136147151,48,-87.655528,41.992167,"(41.992167, -87.655528)",1
1036,Sheridan & Ardmore,SB,136147151,48,-87.655379,41.987459,"(41.987459, -87.655379)",1
1037,Sheridan & Hollywood,SB,136147151,48,-87.655319,41.985339,"(41.985339, -87.655319)",2
